"trainer/global_step","lightgen-pointuv_256res_batch32 - val/psnr_step","lightgen-pointuv_256res_batch32 - val/psnr_step__MIN","lightgen-pointuv_256res_batch32 - val/psnr_step__MAX","lightgen-pointuv_256res_batch32 - _step","lightgen-pointuv_256res_batch32 - _step__MIN","lightgen-pointuv_256res_batch32 - _step__MAX"
"25","17.374928792317707","17.17346954345703","17.530094146728516","3990.3333333333335","1532","6593"
"26","15.279405275980631","14.799612045288086","15.855936050415039","4007.3333333333335","1549","6610"
"27","16.013869285583496","14.960837364196777","17.26925277709961","4024.3333333333335","1566","6627"
"28","18.40988540649414","18.067171096801758","18.66812515258789","4041.3333333333335","1583","6644"
"29","15.781766573588053","14.455533027648926","16.672800064086914","4058.3333333333335","1600","6661"
"30","15.275471369425455","14.840328216552734","15.87552547454834","4075.3333333333335","1617","6678"
"31","15.666722615559896","14.685346603393555","16.52029800415039","4079.3333333333335","1621","6682"
"32","19.886680603027344","19.367586135864258","20.406341552734375","4371.333333333333","1913","6974"
"33","17.19696617126465","16.949892044067383","17.41401481628418","4388.333333333333","1930","6991"
"34","15.167044957478842","14.791616439819336","15.674805641174316","4405.333333333333","1947","7008"
"35","15.680061340332031","14.476314544677734","16.54442596435547","4422.333333333333","1964","7025"
"36","18.393003463745117","18.09563446044922","18.660375595092773","4439.333333333333","1981","7042"
"37","15.714104970296225","14.275962829589844","16.601703643798828","4456.333333333333","1998","7059"
"38","15.397112846374512","14.934473991394043","16.287336349487305","4473.333333333333","2015","7076"
"39","16.047118822733562","15.311172485351562","16.94537353515625","4477.333333333333","2019","7080"
"40","20.04540189107259","19.822486877441406","20.228248596191406","4769.333333333333","2311","7372"
"41","17.40137990315755","17.127986907958984","17.661954879760742","4786.333333333333","2328","7389"
"42","15.302775065104166","15.03468132019043","15.647668838500977","4803.333333333333","2345","7406"
"43","16.813715934753418","16.6451358795166","16.982295989990234","6049.5","4676","7423"
"44","18.352441787719727","18.152610778808594","18.55227279663086","6066.5","4693","7440"
"45","15.164255619049072","14.266711235046387","16.061800003051758","6083.5","4710","7457"
"46","14.92335557937622","14.907821655273438","14.938889503479004","6100.5","4727","7474"
"47","15.789000511169434","14.634639739990234","16.943361282348633","6104.5","4731","7478"
"32849","20.389596939086914","20.389596939086914","20.389596939086914","5181","5181","5181"
"33200","14.736940383911133","14.736940383911133","14.736940383911133","5215","5215","5215"
"33399","17.168621063232422","17.168621063232422","17.168621063232422","5232","5232","5232"
"33749","16.073156356811523","16.073156356811523","16.073156356811523","5266","5266","5266"
"35749","20.12018585205078","20.12018585205078","20.12018585205078","5579","5579","5579"
"36100","14.7719087600708","14.7719087600708","14.7719087600708","5613","5613","5613"
"36299","17.139429092407227","17.139429092407227","17.139429092407227","5630","5630","5630"
"36649","15.948064804077148","15.948064804077148","15.948064804077148","5664","5664","5664"
"38649","20.081958770751953","20.081958770751953","20.081958770751953","5977","5977","5977"
"39000","14.50261116027832","14.50261116027832","14.50261116027832","6011","6011","6011"
"39199","17.591686248779297","17.591686248779297","17.591686248779297","6028","6028","6028"
"39549","15.638017654418945","15.638017654418945","15.638017654418945","6062","6062","6062"
"41549","20.321182250976562","20.321182250976562","20.321182250976562","6375","6375","6375"
"41900","14.33930492401123","14.33930492401123","14.33930492401123","6409","6409","6409"
"42099","17.554418563842773","17.554418563842773","17.554418563842773","6426","6426","6426"
"42449","14.79863166809082","14.79863166809082","14.79863166809082","6460","6460","6460"
"44449","20.26703643798828","20.26703643798828","20.26703643798828","6773","6773","6773"
"44800","14.459718704223633","14.459718704223633","14.459718704223633","6807","6807","6807"
"44999","17.44854164123535","17.44854164123535","17.44854164123535","6824","6824","6824"
"45349","14.702646255493164","14.702646255493164","14.702646255493164","6858","6858","6858"
"47349","20.088714599609375","20.088714599609375","20.088714599609375","7171","7171","7171"
"47700","14.568978309631348","14.568978309631348","14.568978309631348","7205","7205","7205"
"47899","17.581708908081055","17.581708908081055","17.581708908081055","7222","7222","7222"
"48249","14.743386268615723","14.743386268615723","14.743386268615723","7256","7256","7256"
